date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:05	217264/217264	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2020:28:05%20GMT	https://www.allcooper.com/contact/enquiry-form.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/contact/enquiry-form.html	(from )
01:58:06	702/702	---M-Z	200	added ('OK')	text/plain	etag:%22028978197f9d11:0%22	https://www.allcooper.com/robots.txt		(from )
01:58:06	51924/51924	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2014%20Nov%202018%2020:28:07%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/connect.facebook.net/en_US/fbevents.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:08	96527/96527	---M-Z	200	added ('OK')	text/css	etag:%22028978197f9d11:0%22	https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:09	2852/2852	---M-Z	200	added ('OK')	text/css	etag:%220fb658097f9d11:0%22	https://www.allcooper.com/Resources/Search/SearchSkinObjectPreview.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/Search/SearchSkinObjectPreview23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:11	76491/76491	---M-Z	200	added ('OK')	text/css	etag:%22efeb69582ed41:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/skin.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/_default/skins/allcooper/skin23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:13	3706/3706	---M-Z	200	added ('OK')	text/css	etag:%220d0e857b8dd21:0%22	https://www.allcooper.com/Portals/_default/containers/allcooper/container.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/_default/containers/allcooper/container23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:14	3988/3988	---M-Z	200	added ('OK')	text/css	etag:%224dd0567cc183d21:0%22	https://www.allcooper.com/Portals/0/portal.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/0/portal23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:16	107140/107140	---M-Z	200	added ('OK')	text/css	etag:%2215d3c8fbe8f3d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/Themes/defaultskin/Style.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/Themes/defaultskin/Style23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:17	19023/19023	---M-Z	200	added ('OK')	text/css	etag:%22af9b702da0bdd21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_PowerForms/Effects/Effect_01_Responsive/Themes/Theme_Responsive_20070_Contact/Style.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_PowerForms/Effects/Effect_01_Responsive/Themes/Theme_Responsive_20070_Contact/Style23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:18	4922/4922	---M-Z	200	added ('OK')	text/css	etag:%22c444ae7b85b6d31:0%22	https://www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/plugins/jquery-datepick/jquery.datepick.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/plugins/jquery-datepick/jquery.datepick23e0.css	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:21	277976/277976	---MCZ	200	added ('OK')	application/javascript	etag:%220a137e97f9d11:0%22	https://www.allcooper.com/Resources/libraries/jQuery/01_09_01/jquery.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/libraries/jQuery/01_09_01/jquery23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:22	17138/17138	---M-Z	200	added ('OK')	application/javascript	etag:%220a137e97f9d11:0%22	https://www.allcooper.com/Resources/libraries/jQuery-Migrate/01_02_01/jquery-migrate.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/libraries/jQuery-Migrate/01_02_01/jquery-migrate23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:24	486397/486397	---MCZ	200	added ('OK')	application/javascript	etag:%220a137e97f9d11:0%22	https://www.allcooper.com/Resources/libraries/jQuery-UI/01_11_03/jquery-ui.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/libraries/jQuery-UI/01_11_03/jquery-ui23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
