date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:03	173347/173347	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:03%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.html	(from )
22:14:04	702/702	---M-Z	200	added ('OK')	text/plain	etag:%22028978197f9d11:0%22	https://www.allcooper.com/robots.txt		(from )
22:14:06	51924/51924	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2014%20Nov%202018%2016:44:06%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/connect.facebook.net/en_US/fbevents.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:09	96527/96527	---M-Z	200	added ('OK')	text/css	etag:%22028978197f9d11:0%22	https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:10	2852/2852	---M-Z	200	added ('OK')	text/css	etag:%220fb658097f9d11:0%22	https://www.allcooper.com/Resources/Search/SearchSkinObjectPreview.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Resources/Search/SearchSkinObjectPreview23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:12	76491/76491	---M-Z	200	added ('OK')	text/css	etag:%22efeb69582ed41:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/skin.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/_default/skins/allcooper/skin23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:13	3706/3706	---M-Z	200	added ('OK')	text/css	etag:%220d0e857b8dd21:0%22	https://www.allcooper.com/Portals/_default/containers/allcooper/container.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/_default/containers/allcooper/container23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:14	3988/3988	---M-Z	200	added ('OK')	text/css	etag:%224dd0567cc183d21:0%22	https://www.allcooper.com/Portals/0/portal.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/0/portal23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:18	107140/107140	---M-Z	200	added ('OK')	text/css	etag:%2215d3c8fbe8f3d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/Themes/defaultskin/Style.css?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/Themes/defaultskin/Style23e0.css	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:22	277976/277976	---MCZ	200	added ('OK')	application/javascript	etag:%220a137e97f9d11:0%22	https://www.allcooper.com/Resources/libraries/jQuery/01_09_01/jquery.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Resources/libraries/jQuery/01_09_01/jquery23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
